	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000067848	0.21192273497581482	-0.43986889719963074	-0.14974261820316315	-0.7457081079483032	-0.10414636880159378	0.4215719699859619
ENSMUSG00000026154	-0.02326403371989727	-0.23392555117607117	-0.012030832469463348	-0.10512980818748474	-0.026586441323161125	1.0260987281799316
ENSMUSG00000031671	0.06410165131092072	-0.24528121948242188	0.012930904515087605	0.5202512741088867	-0.043617550283670425	1.2562919855117798
ENSMUSG00000029553	-0.3408222198486328	-0.35204073786735535	0.158725306391716	-0.815493106842041	0.08613637834787369	0.4623427987098694
ENSMUSG00000108950	-0.24128422141075134	-0.35755494236946106	0.1419968456029892	-0.6462247967720032	0.03593083843588829	0.4337896406650543
ENSMUSG00000047881	-0.2315264642238617	-0.2674636244773865	0.20471499860286713	0.49049800634384155	0.043413758277893066	1.085956335067749
ENSMUSG00000038179	-0.14840607345104218	-0.35633957386016846	0.06765447556972504	-0.6914395093917847	0.01899825409054756	0.36405766010284424
ENSMUSG00000093661	-0.25883767008781433	-0.24456600844860077	0.16323159635066986	-0.1388334035873413	0.06840337067842484	0.5053960084915161
ENSMUSG00000020566	-0.266287237405777	-0.21997493505477905	0.22673720121383667	-0.06472080945968628	0.07374691218137741	0.26593148708343506
ENSMUSG00000109961	-0.11895053088665009	-0.36219051480293274	0.0236715916544199	-0.7079136371612549	0.009863129816949368	0.49808967113494873
ENSMUSG00000044700	-0.13753752410411835	-0.2447638064622879	0.17336441576480865	0.29554471373558044	0.035433609038591385	1.0000134706497192
ENSMUSG00000035179	0.020422618836164474	-0.2836870849132538	-0.026851406320929527	-0.5579386353492737	-0.05629077926278114	0.526106595993042
ENSMUSG00000102602	0.12792548537254333	-0.26512038707733154	-0.11077762395143509	-0.6228766441345215	-0.0679389238357544	0.5291339755058289
ENSMUSG00000087479	-0.12466229498386383	-0.24102365970611572	0.05572022497653961	-0.08615312725305557	-0.0301809199154377	0.7276764512062073
ENSMUSG00000109326	-0.020557614043354988	-0.19258412718772888	0.06233980134129524	-0.35666266083717346	0.016568496823310852	0.2903597056865692
ENSMUSG00000053111	-0.29366064071655273	-0.2601388692855835	0.1661825329065323	0.3838750422000885	0.09859050810337067	1.136110544204712
ENSMUSG00000038486	-0.07410412281751633	-0.21939845383167267	0.05460471287369728	-0.2772672772407532	-0.02560519427061081	0.5640605092048645
ENSMUSG00000051177	-0.5654948949813843	-0.2529958486557007	0.3073572814464569	0.2777990400791168	0.2008838653564453	0.5740365982055664
