	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000026815	3.8985760043314808	3.166695484274875	4.342494728248389	3.655481891237961	3.9167502205526223	2.712299431529449
ENSMUSG00000042851	4.621349410930967	3.4600820861847152	4.3401816939424505	4.196509780817135	4.4239389626295775	3.804108410192982
ENSMUSG00000049686	4.037901703990015	3.314582023035538	4.311391868782858	4.273691471594409	4.145845652480516	3.5941283571045064
ENSMUSG00000063430	4.8084200773578525	3.151040761060861	5.085751677576268	3.718158518806882	4.789302491290988	2.9887741557716296
ENSMUSG00000103839	3.3225762345860903	3.219007003966679	2.803157376357495	2.9726446864268588	2.6978970584098225	3.08646145081317
ENSMUSG00000009588	3.759096718252424	3.0637660614744595	4.249638130017583	3.6459760051998895	4.013210220423138	3.5847604999774894
ENSMUSG00000028465	4.295485730842448	3.298379240615207	4.562492950773978	4.402633770022878	4.465013841875888	3.5833280225433843
ENSMUSG00000031772	5.312529249164099	3.1014239816321214	5.2408898361902745	3.425315061687909	5.190794465484973	2.847574818271243
ENSMUSG00000042351	4.751239317500958	3.294776955187808	4.901898441308799	3.662931892236252	4.676027943449052	3.1232585711791283
ENSMUSG00000107357	2.38162101134984	2.7158953133670303	2.5400382371539405	2.508039099914934	2.289290328177508	2.667380097382357
ENSMUSG00000024912	3.736535666710516	3.22776933501959	3.887389461001761	3.883538679941264	3.664226988518818	2.9907389939904507
ENSMUSG00000109372	4.44762568007204	3.1057950793179505	4.35986787305228	3.5871616336097745	4.337878377801204	2.638799641609366
ENSMUSG00000063108	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000026999	4.217770747059317	3.6568319517393792	4.111637989136491	4.106207765382425	4.254621178402527	3.7414929493942712
ENSMUSG00000051879	3.661715534003259	3.1398864294825715	3.690460564584707	3.336926399635686	3.5475525801682943	2.918232488428681
ENSMUSG00000020545	4.490266639507268	3.110838769038538	4.419472967520252	3.029872712767078	4.424580709998141	3.037470423211532
ENSMUSG00000053263	4.354742123424168	3.331747078658049	4.711405046411	4.037793182481921	4.373731052994009	3.333094455888206
ENSMUSG00000084758	3.3893450831557743	3.1397920089716904	3.4106569635349677	3.098493582777893	3.594623449662654	3.190633497995083
ENSMUSG00000117725	3.618005188390664	3.247104627167824	3.7921981051256446	4.370128030781931	3.4925934817473	3.67810938521223
ENSMUSG00000044528	3.2670879914847566	3.337299491406797	3.1777006062636857	3.820326407940148	2.775185774921149	3.149626573046903
ENSMUSG00000087139	3.542632917594256	3.042060195789177	3.416871570394335	3.3007626051124834	3.35439035079426	3.1170690198291404
ENSMUSG00000092066	3.546033220319454	3.659067689705059	3.6108593819172223	4.01104021312135	3.487724701452363	3.7219566602873058
ENSMUSG00000016933	4.465984299514993	3.202764317843914	4.80227601914694	4.233882081124237	4.612673415361837	3.5721053955900195
ENSMUSG00000038127	4.515282465328598	3.2393270127745435	4.479515855120704	3.823760208549458	4.661690138542277	3.5194361647965136
ENSMUSG00000101190	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000018986	3.9815336636319154	-2.0	3.826823820001077	-2.0	3.976129450929253	-2.0
ENSMUSG00000114273	4.5875646792799865	3.122761817354025	4.368601880581213	3.0478764255680444	4.385396671471085	3.015147586788679
ENSMUSG00000116262	2.9806091421514465	3.130807480815032	3.2858540130324405	3.8631947541023126	2.940306010293848	3.631391762179296
ENSMUSG00000099811	4.060746931737757	3.073223302437776	4.03741625803258	3.132957522793132	3.9589956935469073	3.107136845944626
ENSMUSG00000111444	4.241499993989831	3.118992900900384	4.393700121735153	3.048459594498402	4.239497182039848	3.1670136656268517
ENSMUSG00000034254	3.604276465769915	3.1671548132099057	3.881464260618177	4.1782907378747005	3.670243533118772	3.5499839171731677
ENSMUSG00000024222	5.020707309510801	3.215131516983146	5.281155680091001	3.9630007583284392	5.058896508294636	3.4212332200939257
ENSMUSG00000029822	5.015527404313787	3.3833089921933426	5.128599566702314	4.291807097941392	5.183423599426166	3.6375807817132544
ENSMUSG00000074284	4.056069746381774	3.277622964835173	4.045206251350055	4.104876640754552	4.143831068695475	3.3146686602881585
ENSMUSG00000086047	3.304216134739964	3.263412749894772	3.6208707135897	3.9566010201557553	3.217504342415072	3.5817415019501118
ENSMUSG00000086228	4.144009309440519	3.1713929278327457	4.294807355023934	3.042188372924836	4.244302484838595	3.362540433363261
ENSMUSG00000084298	3.364298912595445	3.172353802000732	3.373387736424828	3.1165526568138406	3.458359055796647	3.084060537551353
ENSMUSG00000054662	4.01982070279977	3.1602223511477283	4.175654718540606	3.85833672620888	4.142726476755185	3.2321177447060814
