	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000110097	-0.23074795415940386	0.18361239217145922	-0.3941286026579651	-0.2025956047651405	-0.19674472787089248	0.10175483725013174
ENSMUSG00000031570	-0.1539352556475197	0.32900888772620784	-0.04419841985929726	0.6521952860606459	-0.11052442478009467	0.5385633376145165
ENSMUSG00000055923	0.4859636145743302	0.4480829349283965	0.48901873700950876	0.6341597518934163	0.5383184175924323	0.5931603635238889
ENSMUSG00000075534	0.022854119458413574	0.3022468376581333	-0.008923037599793994	0.057040935890343154	0.01886549680845746	0.06907358675179058
ENSMUSG00000057067	0.09845696465360163	0.28688055568186727	-0.24132306189228378	-0.3360914864397306	-0.12985021497376611	-0.006179960623330886
ENSMUSG00000106350	0.5975895275392128	0.14368909760847295	0.6666052300536768	0.2889342362077926	0.591929916201912	0.38746749190160085
ENSMUSG00000054920	0.6901558433968137	0.3503344648015221	0.6512387238287317	0.5692841932174154	0.6727805628027195	0.42646676554935814
ENSMUSG00000020945	-0.02936428558869418	0.21650350339480112	-0.0165044575036082	0.14310202571789468	-0.0351332301554169	0.11357139871668655
ENSMUSG00000038473	1.0823989173359825	0.2863671951752104	1.0134959982019076	0.34612827681278613	1.0811523837350288	0.10522418144604385
ENSMUSG00000035576	0.4713858677577049	0.3017215939574923	0.5823430605547599	0.4925642250168657	0.5500139611546814	0.2741428050327842
ENSMUSG00000086939	0.2347165907925692	0.2956915555064834	0.19648136889357226	0.2433982317343601	0.17287792096730883	0.22777871344198106
ENSMUSG00000056418	-0.3997240044597901	0.3047675239865294	-0.3873635829306401	0.5281023033513212	-0.437073638142522	0.46707200584446373
ENSMUSG00000107022	0.1446191281360053	0.10039996035960379	-0.13637945315476813	-0.3014913206278098	-0.05402460840594305	-0.008808352707604996
ENSMUSG00000107071	0.2074805200049104	0.15661301128569932	0.44585505063595815	0.046157872049373584	0.26292340699989547	0.2216051475619437
ENSMUSG00000049037	0.20229535898896694	0.14953950072062985	0.16860539096748994	0.07809607752349831	0.21447754852648224	0.22172063515893917
ENSMUSG00000020720	0.4629815502759492	0.4294040532011716	0.5624520045921251	0.5913793009497593	0.5152247097132965	0.521915324909124
ENSMUSG00000026815	0.16360657243097837	0.2089953554693206	0.40865291358866535	0.25375910334123125	0.20576729768794547	-0.19106665070508072
ENSMUSG00000042851	0.6640490230457731	0.4469604372377057	0.40708251071870716	0.6344894779123288	0.554849787853432	0.6617902934895032
ENSMUSG00000049686	0.2600745580182991	0.3289457283204957	0.38753605438637295	0.6888035245736182	0.36344667269819103	0.4977662289154359
ENSMUSG00000063430	0.7935752367802671	0.19629785167932445	0.913277009886818	0.29786569442608213	0.8063183237647088	0.02489913916491804
ENSMUSG00000103839	-0.2352110012275841	0.25142508804693176	-0.6364590369936675	-0.22676485811485786	-0.6331320344315524	0.10120670721381357
ENSMUSG00000009588	0.0670322448504889	0.1255095781583286	0.34560920170690773	0.2470696523505988	0.2721577637268252	0.4904486100286789
ENSMUSG00000028465	0.43842365119224014	0.31580369518595497	0.558017684855946	0.7795423765335688	0.5831203702639011	0.48932964292824893
ENSMUSG00000031772	1.1426163429037361	0.1560538156634182	1.0186059316853242	0.09178685585396125	1.082652963132213	-0.08539747668659035
ENSMUSG00000042351	0.7539837419500522	0.3128818911884177	0.7884523805485261	0.259001793644758	0.7283549189164347	0.12995045290904197
ENSMUSG00000107357	-0.886720773910849	-0.1566474476885876	-0.8151001623264478	-0.5537155798569459	-0.9143635426542474	-0.22615499198510816
ENSMUSG00000024912	0.05141115555889622	0.25853219113860076	0.09966544376071973	0.4142464797942776	0.031963284803088896	0.026433955192160942
ENSMUSG00000109372	0.5437641193578844	0.15959920121086585	0.42044817161410075	0.20568099539414203	0.49561692094482795	-0.24848036267777132
ENSMUSG00000063108	-3.920519661036019	-3.98169742117509	-3.89749676104592	-3.7260980912775437	-3.8665508145392278	-3.8720377471541836
ENSMUSG00000026999	0.3846144260895928	0.6065437227042396	0.251915901638725	0.5709424393525896	0.4383135384381929	0.612878779113158
ENSMUSG00000051879	-0.00039369811371883106	0.18725060341092853	-0.034036725427624204	0.029586276070252476	-0.04834013999060636	-0.0302038614736563
ENSMUSG00000020545	0.573288374181715	0.16369012434423644	0.46091623176189495	-0.1864925388423266	0.5552914829284407	0.06293779854040212
