	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000117426	3.809141603188487	3.0464285648065115	3.728300202200713	3.100557527229685	3.722782980047601	2.9517803316361357
ENSMUSG00000110097	3.329022074121325	3.1354008872145798	3.160084008824993	3.0069898319835606	3.331932666921517	3.0871631550077607
ENSMUSG00000031570	3.4399602563345435	3.314659892121552	3.675493483030946	4.221670200514589	3.4572038228748987	3.646355931593254
ENSMUSG00000093472	4.54145318041443	3.0448153532435267	4.493569015440013	3.023436676681332	4.472935175164164	3.019519124686087
ENSMUSG00000095936	3.401563083559336	3.066970364976877	3.289831692762498	3.03029431327435	3.2725435741128712	3.0971482884429244
ENSMUSG00000075534	3.695291631078899	3.28166502215464	3.727450322184901	3.375940194314692	3.6451969574971	3.0453253263180526
ENSMUSG00000106350	4.5253640365704415	3.0861795491853288	4.722430710723877	3.705466681450461	4.477813402577001	3.4529263041380744
ENSMUSG00000054920	4.659054676456346	3.340952147041467	4.699797501920799	4.103851353951037	4.5952828801384005	3.50285232915296
ENSMUSG00000020945	3.619874219033371	3.17595226258085	3.716283707132985	3.498235269554582	3.566741156435348	3.102290460933959
ENSMUSG00000038473	5.225559101526168	3.262087047466142	5.233363454473638	3.7867409194722734	5.188614244481955	3.091604534267149
ENSMUSG00000035576	4.343092031081013	3.281017450404363	4.598321609503887	3.9948302585606728	4.41691289592804	3.3078504957392183
ENSMUSG00000086939	4.001277983652816	3.2735830298692985	4.029988892318025	3.640758819809838	3.868964605184957	3.248496190388252
ENSMUSG00000111602	4.836709702654565	3.0737840698266203	4.779707359267832	2.884559931788774	4.721038582853431	2.996989592709991
ENSMUSG00000059042	3.309132430625431	3.1320268931344635	3.3623278806268204	3.140441951085004	3.3677941881263216	3.148590316719418
ENSMUSG00000056418	3.084975240445849	3.284772770530465	3.170048154337584	4.045330803841962	2.982754117096205	3.554834277868701
ENSMUSG00000107022	3.8711530313625886	3.0328084714512604	3.539720748245403	2.866456415121623	3.5392935054046646	2.9456225551132054
ENSMUSG00000107071	3.961941776979307	3.1021134126284875	4.397289469706616	3.3604750739689138	3.99979344386124	3.240592925128964
ENSMUSG00000052428	4.255492009610192	3.3162464997011507	4.214639893608874	4.230236167165072	4.2774585028681535	3.72732792050436
ENSMUSG00000014294	3.001546660599474	3.3482775970678444	2.8324869419590635	4.218490287923263	2.9660357284741594	3.6331491823060063
ENSMUSG00000049037	3.954453010815173	3.0933924977243463	3.988930578882613	3.405860105105653	3.92940551347172	3.240740769848037
ENSMUSG00000097010	4.190780703930544	3.4796870962668707	4.07105930785424	3.840365338568633	3.8633020372831006	3.0955031415144765
ENSMUSG00000026815	3.8985760043314808	3.166695484274875	4.342494728248389	3.655481891237961	3.9167502205526223	2.712299431529449
ENSMUSG00000042851	4.621349410930967	3.4600820861847152	4.3401816939424505	4.196509780817135	4.4239389626295775	3.804108410192982
ENSMUSG00000104232	4.094731929813912	3.103170626037373	3.981283266407706	2.973681733933404	4.031223597259256	3.1130119618784904
ENSMUSG00000062044	4.163339311762746	3.143135594388785	4.861244645170209	3.888044971017691	4.281014608049518	3.3418883674674142
ENSMUSG00000049686	4.037901703990015	3.314582023035538	4.311391868782858	4.273691471594409	4.145845652480516	3.5941283571045064
ENSMUSG00000028465	4.295485730842448	3.298379240615207	4.562492950773978	4.402633770022878	4.465013841875888	3.5833280225433843
ENSMUSG00000031772	5.312529249164099	3.1014239816321214	5.2408898361902745	3.425315061687909	5.190794465484973	2.847574818271243
ENSMUSG00000042351	4.751239317500958	3.294776955187808	4.901898441308799	3.662931892236252	4.676027943449052	3.1232585711791283
ENSMUSG00000107357	2.38162101134984	2.7158953133670303	2.5400382371539405	2.508039099914934	2.289290328177508	2.667380097382357
ENSMUSG00000034729	3.7575083841590784	3.2660457995743446	4.144767464564199	3.7718891776620618	3.889442055008908	3.7546571255042274
ENSMUSG00000024912	3.736535666710516	3.22776933501959	3.887389461001761	3.883538679941264	3.664226988518818	2.9907389939904507
ENSMUSG00000029229	4.645166399124733	3.224153072182469	4.634447644422283	3.9679831757500623	4.645524198681943	3.773698882679549
ENSMUSG00000020612	4.103786622411421	3.2063904641964207	4.586426383382908	3.615953732102517	4.324402332844128	3.1597912001267114
ENSMUSG00000109372	4.44762568007204	3.1057950793179505	4.35986787305228	3.5871616336097745	4.337878377801204	2.638799641609366
ENSMUSG00000051879	3.661715534003259	3.1398864294825715	3.690460564584707	3.336926399635686	3.5475525801682943	2.918232488428681
ENSMUSG00000053263	4.354742123424168	3.331747078658049	4.711405046411	4.037793182481921	4.373731052994009	3.333094455888206
ENSMUSG00000084758	3.3893450831557743	3.1397920089716904	3.4106569635349677	3.098493582777893	3.594623449662654	3.190633497995083
ENSMUSG00000113065	3.4011229861898338	3.155505065589875	3.308496222907327	3.0299079023183464	3.377269359974297	3.249014201959558
ENSMUSG00000117725	3.618005188390664	3.247104627167824	3.7921981051256446	4.370128030781931	3.4925934817473	3.67810938521223
ENSMUSG00000109405	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000048138	3.5988572320233865	3.3112465348710933	3.7999159185491456	4.025058697771881	3.192266297570587	2.9102021764449826
ENSMUSG00000107538	4.562182194502534	3.077733600462155	4.6353998957582165	3.104044397022972	4.545009132789456	3.038696146902873
ENSMUSG00000044528	3.2670879914847566	3.337299491406797	3.1777006062636857	3.820326407940148	2.775185774921149	3.149626573046903
ENSMUSG00000087139	3.542632917594256	3.042060195789177	3.416871570394335	3.3007626051124834	3.35439035079426	3.1170690198291404
ENSMUSG00000016933	4.465984299514993	3.202764317843914	4.80227601914694	4.233882081124237	4.612673415361837	3.5721053955900195
ENSMUSG00000112619	3.719464704296785	3.050965896577098	3.629769425072338	3.02857893817295	3.564811889344531	2.7960372034975465
ENSMUSG00000101190	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000114273	4.5875646792799865	3.122761817354025	4.368601880581213	3.0478764255680444	4.385396671471085	3.015147586788679
ENSMUSG00000056592	3.478940030162018	-2.0	3.504562292587234	-2.0	3.193663443317115	-2.0
ENSMUSG00000046168	3.340539292241749	3.014506118037644	3.316652365322006	3.3035830336454444	3.476595440214591	3.200393537503053
ENSMUSG00000035186	2.9461242914476014	3.20878163543724	3.049126384622423	3.1490628124419366	2.6202258727814427	2.7993172830545525
ENSMUSG00000099811	4.060746931737757	3.073223302437776	4.03741625803258	3.132957522793132	3.9589956935469073	3.107136845944626
ENSMUSG00000111444	4.241499993989831	3.118992900900384	4.393700121735153	3.048459594498402	4.239497182039848	3.1670136656268517
ENSMUSG00000034254	3.604276465769915	3.1671548132099057	3.881464260618177	4.1782907378747005	3.670243533118772	3.5499839171731677
ENSMUSG00000086047	3.304216134739964	3.263412749894772	3.6208707135897	3.9566010201557553	3.217504342415072	3.5817415019501118
ENSMUSG00000084298	3.364298912595445	3.172353802000732	3.373387736424828	3.1165526568138406	3.458359055796647	3.084060537551353
ENSMUSG00000054662	4.01982070279977	3.1602223511477283	4.175654718540606	3.85833672620888	4.142726476755185	3.2321177447060814
ENSMUSG00000011463	4.250355747997698	3.1331906945561268	4.070992707575143	2.830176502830391	4.052443833239085	3.0099802678217915
ENSMUSG00000068947	3.8549760996069855	3.132653450656592	3.732040872863055	2.8361986206579592	3.7338728660099303	3.040901852539164
ENSMUSG00000103506	3.0993426483067434	3.2456960527071197	2.9615260240231795	3.2073281262578592	3.071675852528354	3.2788598758087177
ENSMUSG00000022561	3.1920849456984945	3.1539164418170778	3.949676790279901	4.186535221511136	3.2111318925952363	3.425649544279031
ENSMUSG00000062844	3.3838835556281293	3.031170985017944	3.0486288827964967	2.5954779458001447	3.162760675817443	2.96232516989063
