	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000042874	0.17641742527484894	-0.03445494547486305	0.12746365368366241	0.05094936490058899	-0.3143600523471832	0.3055454194545746
ENSMUSG00000087326	-0.06034673750400543	-0.08084431290626526	0.14499789476394653	-0.20990002155303955	0.20133046805858612	0.014723091386258602
ENSMUSG00000047246	-0.2650461494922638	-0.05864071846008301	0.5230085849761963	0.11655798554420471	0.5257384777069092	0.380115807056427
ENSMUSG00000110641	-0.05076924338936806	-0.09598088264465332	-0.012144159525632858	-0.20880074799060822	0.15747225284576416	0.010961332358419895
ENSMUSG00000028952	0.055025190114974976	-0.039239466190338135	0.11234614998102188	0.15079031884670258	0.0674227774143219	0.2563976049423218
ENSMUSG00000086399	0.2778429090976715	-0.02464628964662552	-0.6087545156478882	-0.14178502559661865	-0.42353081703186035	-0.026465995237231255
ENSMUSG00000006095	0.017148157581686974	-0.03607308492064476	0.015419330447912216	0.2120082676410675	0.08393972367048264	0.32550591230392456
ENSMUSG00000097120	0.024904219433665276	-0.020003996789455414	0.20656025409698486	0.21159857511520386	-0.17887765169143677	0.2653783857822418
ENSMUSG00000092256	0.12801389396190643	-0.053042225539684296	-0.5492261648178101	-0.21328727900981903	-0.33176010847091675	-0.016780070960521698
ENSMUSG00000021553	-0.32635498046875	-0.05247049778699875	0.6990190148353577	-0.08099213242530823	0.6051899790763855	0.0015529001830145717
ENSMUSG00000054426	0.08642516285181046	-0.016738032922148705	-0.3183222711086273	0.09160720556974411	-0.2869589924812317	0.4797205626964569
ENSMUSG00000054052	0.036028847098350525	-0.06969842314720154	-0.1595977395772934	-0.22367042303085327	-0.008982520550489426	0.014958676882088184
ENSMUSG00000023262	0.09327993541955948	-0.025090890005230904	0.16544285416603088	0.17834942042827606	-0.17939330637454987	0.23481567203998566
ENSMUSG00000043458	0.5952554941177368	0.7037339806556702	-1.5422183275222778	1.1050206422805786	-1.1938695907592773	-0.6227678060531616
ENSMUSG00000002032	0.1382972002029419	-0.018392225727438927	-0.19714738428592682	0.021371493116021156	-0.31510087847709656	0.07997280359268188
ENSMUSG00000100491	0.5952554941177368	0.7037339806556702	-1.5422183275222778	1.1050206422805786	-1.1938695907592773	-0.6227678060531616
ENSMUSG00000117222	-0.23834319412708282	-0.09841221570968628	0.4406678080558777	-0.17591314017772675	0.5063915848731995	0.017193753272294998
ENSMUSG00000028874	-0.2352619171142578	-0.05007483810186386	0.6125710606575012	-0.03367205709218979	0.5267053246498108	0.17474713921546936
ENSMUSG00000102177	0.5952554941177368	0.7037339806556702	-1.5422183275222778	1.1050206422805786	-1.1938695907592773	-0.6227678060531616
ENSMUSG00000036357	0.1935524046421051	-0.1058238297700882	-0.4651791751384735	-0.18362385034561157	-0.5824396014213562	-0.04967942833900452
ENSMUSG00000028211	-0.1617763489484787	-0.055413004010915756	0.1599523425102234	0.16942588984966278	0.3095334768295288	0.4137197434902191
ENSMUSG00000074062	-0.004263417329639196	0.822907030582428	-0.1670384258031845	0.8629264831542969	0.02494685910642147	-1.3241358995437622
