	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000000001	4.421977193868529	3.293079563326717	4.353654883508108	4.154689125260889	4.562296136525862	3.780801931800496
ENSMUSG00000000003	3.8847481759789337	2.790703536927359	3.533240109532623	2.698191050473148	3.497455600328452	2.554968618022267
ENSMUSG00000000028	4.35702403293766	3.5862755358721894	4.49047707427649	4.365804417846642	4.455831947831424	3.7738509628957484
ENSMUSG00000000031	2.9769920032292347	3.068838668551358	3.0224536527399675	3.37015951474975	2.810455658443767	3.12793087326721
ENSMUSG00000000037	4.764702796758789	2.8608377067448063	4.650949066487425	3.030327848680231	4.604045059340694	2.5936310389817914
ENSMUSG00000000049	4.006421255550069	2.973977284714725	4.030746984751612	3.127278222246578	3.9477530755799966	3.0894829698326123
ENSMUSG00000000056	4.10118895859066	3.3822026142569226	4.265771326471431	4.609813315293551	4.209312564687943	3.7229946565846794
ENSMUSG00000000058	3.694791744641066	3.240347862010104	3.429569644185744	3.7660045374045086	3.4711842245465894	3.327572963271682
ENSMUSG00000000078	4.125836797013664	3.675324569318056	4.106975658865321	4.361193703125443	3.8680807828450843	3.7049961809702143
ENSMUSG00000000085	4.99363106816776	3.260220104402519	4.8903534938948345	3.9851872543211377	5.006820820720564	3.7250487173648716
ENSMUSG00000000088	3.580642953674693	-2.0	3.4984155989878873	-2.0	3.7473548952651896	-2.0
ENSMUSG00000000093	3.8372535404806123	3.2050870199948034	4.326564010449829	4.100660701646458	3.4321921543653726	3.040983564779941
ENSMUSG00000000094	4.291766105887777	3.1835317652903603	4.679323398967194	3.641777812119603	4.23252727653475	2.9949380093951032
ENSMUSG00000000103	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000000120	4.108263889691535	3.234257371448047	4.798504521163573	4.084248127615995	4.217389836880831	3.0519510826861778
ENSMUSG00000000125	4.449878311046551	3.154055564395733	4.836804612526806	3.8694830096202453	4.390855214286564	3.096273740020997
ENSMUSG00000000126	4.218281611185948	3.054382314221452	4.520308993826585	3.951542424411661	4.381060903382891	3.2450238114887373
ENSMUSG00000000127	5.310660039934948	3.304602533730974	5.289210005783438	4.416610055738073	5.369372193841012	3.8260049534565668
ENSMUSG00000000131	4.86900160007646	3.4335725037012192	4.994452963961615	4.234619037215711	4.980264097374041	3.832236594961095
ENSMUSG00000000134	3.8941991641269986	3.2393653900983677	4.519934651799608	3.997803831689347	4.120659465634777	3.308836429321672
ENSMUSG00000000142	4.268911676327256	3.325722225658518	4.836875876163699	4.374847471116597	4.3751339089381505	3.639741413030783
ENSMUSG00000000148	3.9599010167772204	3.3604223630225785	4.086169268867549	4.451542210499582	4.074614417484841	3.6540720482631213
ENSMUSG00000000149	4.672051653937387	3.4253461594025976	4.797621966097826	4.40624673668578	4.849846434080061	3.518404365402591
ENSMUSG00000000154	4.19066686282553	3.222248984648661	4.569638268825607	3.5817128299700456	4.110699953238246	3.317594388344043
