	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000117098	-0.2357659786939621	-0.12155584990978241	0.5630604028701782	0.18306908011436462	0.5289550423622131	0.3658882975578308
ENSMUSG00000031453	-0.3755207061767578	-0.09198996424674988	0.7831869721412659	0.10928631573915482	0.8585053086280823	0.059105418622493744
ENSMUSG00000026198	-0.031978875398635864	-0.11369112879037857	-0.04960709437727928	0.1916840523481369	0.10623373091220856	0.33892184495925903
ENSMUSG00000110187	0.1510639786720276	-0.10686144232749939	-0.5037981867790222	-0.19199302792549133	-0.3583489656448364	0.026474427431821823
ENSMUSG00000020604	-0.3279632329940796	-0.1187889575958252	0.6915528774261475	0.20416676998138428	0.841118335723877	0.43666180968284607
ENSMUSG00000095822	0.011017824523150921	-0.10345824062824249	-0.20844344794750214	-0.2075626701116562	0.022893350571393967	0.05789592117071152
ENSMUSG00000047036	-0.1398596316576004	-0.11551503092050552	0.12596918642520905	0.05789477750658989	0.34475457668304443	0.3852525055408478
ENSMUSG00000002791	-0.1967039555311203	-0.07871624082326889	0.4268060028553009	-0.023261629045009613	0.4083492159843445	-0.02578083984553814
ENSMUSG00000015126	0.13548891246318817	-0.119843490421772	-0.3282184898853302	0.16228097677230835	-0.3318963944911957	0.3778483271598816
ENSMUSG00000080115	-0.07987058907747269	-0.11728174984455109	0.11899629235267639	0.20758262276649475	0.08851827681064606	0.401906818151474
ENSMUSG00000113057	0.06498315930366516	-0.1273929625749588	-0.42185866832733154	-0.1971125602722168	-0.30297183990478516	-0.011956194415688515
ENSMUSG00000001542	-0.3323899507522583	-0.10607951879501343	0.5686842203140259	0.1681705117225647	0.7649544477462769	0.12752370536327362
ENSMUSG00000111143	0.03763740882277489	-0.1024371087551117	-0.2421531081199646	-0.18228794634342194	-0.13104328513145447	-0.009035695344209671
ENSMUSG00000091350	-0.2193702757358551	-0.09046424925327301	0.214366152882576	-0.17372505366802216	0.41198351979255676	-0.003597426461055875
ENSMUSG00000037321	-0.05021334066987038	-0.10200399160385132	-0.034362442791461945	0.183295339345932	-0.06932925432920456	0.17867015302181244
ENSMUSG00000108049	0.11716059595346451	-0.08607693761587143	-0.3487725555896759	-0.18669620156288147	-0.24339255690574646	0.04388439655303955
ENSMUSG00000031311	-0.12435365468263626	-0.14009615778923035	0.09159165620803833	0.2007313370704651	0.3783939778804779	0.43958380818367004
ENSMUSG00000053334	0.037245385348796844	-0.11210711300373077	-0.04356276988983154	0.2123505175113678	-0.14198260009288788	0.3997831642627716
