	PolII sum gb	PolII sum promoter
ENSMUSG00000044528	3.1669261951513965	3.464973152276713
ENSMUSG00000092066	3.0244062997669348	3.0659320859186514
ENSMUSG00000112619	3.16333334858195	2.3511412803852223
ENSMUSG00000038127	4.685183214194419	3.8476882088726025
ENSMUSG00000101190	0.9575418426815524	1.4307977403060894
ENSMUSG00000018986	3.637063898880215	2.8191384047482697
ENSMUSG00000056592	3.5629424320070946	3.2277197218364795
ENSMUSG00000046168	3.4324091011824764	3.58981933065975
ENSMUSG00000116262	3.483423722323705	4.587013139470376
ENSMUSG00000035186	2.4827364163237573	2.6750753276145467
ENSMUSG00000099811	3.5705873010309963	2.699174653576606
ENSMUSG00000111444	3.839980976194554	2.647642751788344
ENSMUSG00000024222	5.293661558729769	3.6738496705727046
ENSMUSG00000029822	4.9711886098884	3.786622723231624
ENSMUSG00000074284	3.972626894086611	3.8804744053977176
ENSMUSG00000086047	3.349038453975146	3.920292591590673
ENSMUSG00000086228	4.385752205384901	3.323087704244961
ENSMUSG00000084298	2.814749985359536	2.4208652176970373
ENSMUSG00000054662	3.9647905814180233	3.2336405550861853
ENSMUSG00000011463	3.5869082189568244	2.475387375913628
ENSMUSG00000068947	3.428280074720913	2.654977626407757
ENSMUSG00000022561	3.3527072147989045	3.879675889972375
ENSMUSG00000062844	2.5777127206360007	2.2354164922342954
ENSMUSG00000026849	4.244349703367585	4.041977141614774
ENSMUSG00000029423	4.251012483146245	2.570345205271495
ENSMUSG00000101528	3.1179734449504983	2.013390492192312
ENSMUSG00000070609	3.177539385597896	2.686300141843977
ENSMUSG00000101894	2.3229370106436766	2.4024551234383
ENSMUSG00000105586	2.818059756301559	2.6146989975949104
ENSMUSG00000110101	3.8680467499598503	2.4532602263340184
ENSMUSG00000021264	5.1815701630392965	4.611299425179323
ENSMUSG00000051046	3.1490825399635285	2.705784198338391
ENSMUSG00000109315	3.4350827279821017	2.464287306512722
ENSMUSG00000071748	3.800914023732962	3.966538441876151
ENSMUSG00000112355	1.9401544219837912	2.620105295698179
ENSMUSG00000018916	2.345136617522296	2.159185062568403
ENSMUSG00000027790	4.141452909089377	2.5580274019934253
ENSMUSG00000028689	4.563860630519641	4.082571879461034
ENSMUSG00000097882	3.80039696593156	3.7788566470159455
ENSMUSG00000078235	3.047631245084521	3.209488205413828
ENSMUSG00000041372	4.939773598149136	4.21511916701748
ENSMUSG00000022792	4.5669624138439815	4.567077756593679
ENSMUSG00000026219	5.744119491518914	4.153686741273828
ENSMUSG00000086241	4.472258016423348	2.7841028232991074
ENSMUSG00000029189	4.28300933903085	3.172578608481176
ENSMUSG00000087431	3.163187225069696	2.5365769586082103
ENSMUSG00000101308	4.257172002551777	3.407475318807508
ENSMUSG00000047655	3.429442189620458	1.5961695541382883
ENSMUSG00000055471	5.185887639883727	3.2752883144356018
ENSMUSG00000021079	4.392969986483001	4.05270278928665
ENSMUSG00000033382	5.076729016635906	4.242382389760709
ENSMUSG00000018479	3.440621030435413	3.1369476934329583
ENSMUSG00000031490	4.991246017328211	4.358602283861705
ENSMUSG00000019102	3.6533527521633338	2.588989893404161
ENSMUSG00000037003	4.507602234407559	3.9649265136347647
ENSMUSG00000034949	3.95650747056236	3.3609245929890346
ENSMUSG00000106641	3.268818919749052	2.763693730420857
ENSMUSG00000049946	2.922624612481291	2.692428279679294
ENSMUSG00000014547	4.968133037127729	3.965198877867341
ENSMUSG00000033364	5.486720856043488	2.8486379639428523
ENSMUSG00000098800	3.1499552489889817	3.298525595321999
ENSMUSG00000069823	3.027288163332631	2.536755345425933
ENSMUSG00000095407	3.606162371020869	2.52974039290499
ENSMUSG00000050029	4.038080103819098	4.215454255831962
ENSMUSG00000103097	3.233933107227167	2.582999156745447
ENSMUSG00000107205	3.1000734458370545	3.1822281872717277
ENSMUSG00000039850	4.348299020482198	4.16732422825667
ENSMUSG00000027263	4.625241091819659	4.247322564230355
ENSMUSG00000020676	2.603240029614046	2.443149769215709
ENSMUSG00000027434	3.741897901723144	2.9447316620661708
ENSMUSG00000103393	4.155428150767733	3.879469009709557
ENSMUSG00000038168	4.32649834953214	3.3918797581609117
ENSMUSG00000024533	4.809852512190796	4.16186790185475
ENSMUSG00000105184	2.5006032648723955	2.673875745269938
ENSMUSG00000089829	3.355546657298026	3.277667269140661
ENSMUSG00000085912	4.547796850150919	4.308858112134714
ENSMUSG00000031354	3.036020137299262	2.2085336162991727
ENSMUSG00000031818	4.598832074522655	4.425630936977657
ENSMUSG00000025386	3.1034103981066865	2.7538814221357035
ENSMUSG00000108278	2.7332304446867592	2.793637447007224
ENSMUSG00000029422	5.164300300989297	4.654426197458304
ENSMUSG00000109403	2.846921552111125	2.680772912013288
ENSMUSG00000029642	4.845425498654582	4.04993440515546
ENSMUSG00000066319	3.518039027146541	3.0264729303057294
ENSMUSG00000072791	4.7923625020603655	2.446726624765751
ENSMUSG00000097061	3.4611126827258243	3.8901904890414185
ENSMUSG00000114563	2.95186347053608	2.4525678713714982
ENSMUSG00000072623	3.6457647225531513	3.567667330583979
ENSMUSG00000078611	3.612865764702479	3.304514941790271
ENSMUSG00000034908	4.396375470987371	4.277266073991832
ENSMUSG00000113136	3.183370455448628	2.642156414738416
ENSMUSG00000038379	4.649676187769987	4.312524314764524
ENSMUSG00000022033	4.499762665270436	3.844360354079978
ENSMUSG00000110552	2.151073476738172	2.4090506828543914
ENSMUSG00000041298	4.428846690862041	3.865364394237341
ENSMUSG00000105624	2.9872381637208827	3.27457577205771
ENSMUSG00000030105	4.86575561847211	4.250380962848047
ENSMUSG00000020183	4.739852291082812	4.244921691210505
ENSMUSG00000034163	5.052718303790101	4.415389625675272
ENSMUSG00000044024	3.64089334099154	3.5715279351327105
ENSMUSG00000095493	4.056345750164874	2.495522136622105
ENSMUSG00000101463	3.345331900332707	2.4885751566277405
ENSMUSG00000006360	4.500748157605823	4.323138611727161
ENSMUSG00000029875	2.7767549227900266	3.2063468089787097
ENSMUSG00000044912	4.703971955923112	3.395420756668135
ENSMUSG00000112554	2.963555984396509	3.393788642375916
ENSMUSG00000117023	3.621959659916637	2.0359984182213533
ENSMUSG00000053522	3.200001865406602	3.1905324545874034
