	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000100782	-0.30735126551874675	0.27356600019271116	-0.23841697172267287	0.11099573975676788	-0.2999742305883906	0.20425566587811408
ENSMUSG00000089726	-0.13295971898726178	0.04746290414492531	-0.1434237865391753	0.028924833140308567	-0.08617376795464565	0.5008766405076089
ENSMUSG00000101540	-0.47793981867040847	0.18334161594864834	-0.690973541563751	-0.1799400356405426	-0.5924334292036972	0.02246738763285437
ENSMUSG00000113628	0.3727669314272929	0.1239742253079776	0.13093426832450739	-0.2893022291523028	0.34091131349034776	-0.046650007894000985
ENSMUSG00000027778	0.8961054131628073	0.5205452593127733	0.8089396318076486	0.6906766731951534	0.9424185657490964	0.6137561042642681
ENSMUSG00000099508	0.17255099970242335	0.13035107856996117	0.05921906426093917	-0.17791440593535826	0.1533185211104162	-0.013713595077818132
ENSMUSG00000059429	0.2669812994757927	0.12155300923193849	0.0691898079707172	-0.280510212078418	0.19071241863320398	0.03581529385216618
ENSMUSG00000056121	0.5646461466455387	0.3211280013835981	0.5706361100862868	0.5623835131465247	0.6640575135194655	0.5961432530418651
ENSMUSG00000085683	-0.04275936344429964	0.09773189638523752	-0.04204448852523538	-0.09685477479905384	0.06054469797781275	0.18859567183381187
ENSMUSG00000089664	-0.5415317824057768	0.3249521752344486	-0.6146721955414728	0.3396624662329741	-0.5433707452165653	0.2576092561365192
ENSMUSG00000073972	-0.07236644711777562	0.1734509239377901	-0.19002052655413895	-0.15407011445675356	-0.24737810459778614	-0.07820045342586157
ENSMUSG00000113619	-0.3187019366183492	0.10554486835025916	-0.16564783394424004	-0.16958936786482684	-0.38419950045418805	0.08611461384076899
ENSMUSG00000099630	-0.07760089091415434	0.18164201090579304	0.34619917870259737	0.07672960407666027	0.11007031549186047	0.20763848490749662
ENSMUSG00000049653	0.3875115810778694	0.16050112374769973	0.45788438767768946	-0.075044977915247	0.38261990553535236	0.1761635327849969
ENSMUSG00000073950	-0.3059026863181334	0.18890440101085504	-0.4082315590426624	-0.3647498067185212	-0.40726673094326343	0.03302820770956881
ENSMUSG00000115623	0.8914190637031691	0.11773235831109123	0.6475078547838179	-0.2840165197302275	0.7141418759885187	-0.18387492234599004
ENSMUSG00000108004	-0.5996045794190364	0.16242563125509746	-0.829048404300086	-0.29988281754206464	-0.6714349411277868	0.06741171183528256
ENSMUSG00000017550	0.7601593433612323	0.3343556865159932	0.6800912282232251	0.42007730699214263	0.7006325467058498	0.5667684933325529
ENSMUSG00000025920	1.1508125932350544	0.30131751407102864	0.9822535268456658	0.3730838741724754	1.1403641698000238	0.2830926520231145
ENSMUSG00000106241	-0.5339971512171143	0.21383336569348788	-0.7692711264574189	-0.05262253122851814	-0.41014724738715513	0.2513024933082509
ENSMUSG00000074128	-0.0682465619460795	0.10259578435719484	-0.07964528296125574	-0.04516770229690278	-0.12006060116507601	-0.04975316141139702
ENSMUSG00000042198	-0.10140346887265474	0.5615888620989965	-0.3567922111850376	0.820899559763458	-0.31759377853514853	0.5842388027127742
ENSMUSG00000073427	0.5886232818031149	0.395484245340728	0.4307781867574083	0.6088493606774977	0.6033682926534393	0.6783183089297908
ENSMUSG00000051111	0.9726219023153154	0.29659113332319953	0.8791346303672538	0.45283174169651763	0.9016092398770942	-0.029936258428055983
ENSMUSG00000112134	0.06253462242885707	0.3067384682301687	0.23889564863085613	0.321618533195494	0.0988620250203499	0.4217179675966076
ENSMUSG00000081255	-0.496271075827301	0.2557362119185977	-0.2688492240340188	-0.33060885444459426	-0.4295387804556996	0.12388818118364127
ENSMUSG00000079179	0.42453514874560533	0.5407257901663197	0.26854302862657986	0.6946406514281523	0.32218073126604424	0.6111174194869767
ENSMUSG00000103216	-0.37922877421130285	0.1833398937173375	-0.5139823713537832	-0.2652777964277078	-0.34695071386496606	-0.0065293593375851345
ENSMUSG00000078765	-0.5785700091802494	0.34613500756567916	-0.48935085797834516	0.7511453582476527	-0.5855225467421509	0.5073131384433247
ENSMUSG00000044375	0.011592200138461732	0.17559443079745832	0.06852904136016019	-0.048656276024037194	-0.0719574943446818	-0.06771501813099574
ENSMUSG00000010406	-0.4343369332169974	0.14459700863557426	-0.5167436247991879	0.47449315539565884	-0.5425264436478853	0.631861480204257
ENSMUSG00000117193	0.1224803517897752	0.07162193674552175	0.028821316623881543	-0.15867736809233338	0.09738410356573153	0.009968699415513906
ENSMUSG00000022822	0.8545572696670178	0.28603295036027965	0.9604958447116732	0.7584051677610434	0.9317442963507422	0.5236962263118046
ENSMUSG00000107454	-0.5023183190690109	0.09174104829809786	-0.7187114803666605	-0.2600712202045706	-0.5143014517226618	-0.06307216896317128
ENSMUSG00000046562	0.14349947264693116	0.2869133008327356	0.35936788090054655	0.446005535065786	0.2900425160858071	0.37145368681012736
ENSMUSG00000095438	-0.03585580741919956	0.23201130191154098	-0.27553671198496427	-0.06971527784475175	0.05289876648664021	0.26555388341621033
ENSMUSG00000022562	0.08326667815373055	0.21068363419777147	0.2174541095686359	0.7064552275792518	0.04598469710112503	0.36891026992457293
ENSMUSG00000033849	0.4369725179706821	0.4660102804370091	0.1456567646353994	-0.01335402927965983	0.322071333641925	0.22835085858758716
ENSMUSG00000009563	-0.18020774865978603	0.2509977805182506	-0.09373574025385002	0.7063150920111222	-0.05922436067367808	0.4769350753989183
ENSMUSG00000049907	-0.22081563396170364	0.23364592627619557	-0.22105270074963637	0.5345747028247244	-0.15250471128097456	0.5489052515618763
ENSMUSG00000022149	0.4921490458067451	0.16768114689052635	0.29576015811836537	-0.18545248199940212	0.43654319741825254	0.08304229894743893
ENSMUSG00000086290	-0.24579760241544518	0.3174254507472488	0.05382452794033869	0.4694685072353499	-0.279457002547749	0.4899478107827747
ENSMUSG00000105283	0.10333008403898776	0.17809055161833964	0.0249056585506702	-0.1008277629328829	0.07954041473006424	0.21092149882632835
ENSMUSG00000106515	0.995062543825671	0.2705942173729355	0.8379657602300848	-0.11923140659742386	0.8966049945164621	-0.12283859225272517
ENSMUSG00000073471	0.47010351155533164	0.21792507707206005	0.4096388173260164	0.48280894735594937	0.5204418672600404	0.5450353429216289
ENSMUSG00000049929	0.07564959138922195	0.4016382001592912	-0.19452804659311687	0.1066305748152309	0.08957148617945028	0.4526471785105657
