	SALL4 sum gb	SALL4 sum promoter	ATACseq sum gb	ATACseq sum promoter	H3K27ac sum gb	H3K27ac sum promoter
ENSMUSG00000001847	-0.1670246571302414	-0.056145306676626205	0.36885955929756165	0.10165175795555115	0.3929491341114044	0.3784883916378021
ENSMUSG00000118509	0.09559161216020584	-0.0940740555524826	-0.6907925605773926	-0.19500911235809326	-0.5145351886749268	-0.053735245019197464
ENSMUSG00000048938	-0.1304873824119568	-0.036834754049777985	0.10261412709951401	-0.1765868365764618	0.09086912125349045	-0.03219535946846008
ENSMUSG00000113354	1.1054052114486694	1.1425131559371948	-1.2552146911621094	0.6522289514541626	-1.4194775819778442	-1.253788948059082
ENSMUSG00000074852	-0.38594651222229004	-0.03963616490364075	1.095271348953247	-0.10808862745761871	0.9514291882514954	-0.05603354051709175
ENSMUSG00000030826	-0.15829434990882874	-0.04711918905377388	0.4614858627319336	0.004869319498538971	0.29550302028656006	0.12561701238155365
ENSMUSG00000021621	-0.0542326420545578	-0.05871749296784401	-0.08479541540145874	0.10735242813825607	0.08826339989900589	0.4596221446990967
ENSMUSG00000022044	-0.07026569545269012	-0.04672776162624359	0.05165144056081772	-0.1495404839515686	0.05876895785331726	-0.02385292574763298
ENSMUSG00000021342	-0.00567924277856946	-0.0680839940905571	-0.41046473383903503	-0.1999228298664093	-0.24628905951976776	-0.03324033319950104
ENSMUSG00000034282	-0.09300200641155243	-0.04644389450550079	0.4283692538738251	-0.0419485867023468	0.2018204927444458	0.034245565533638
ENSMUSG00000101329	1.1054052114486694	1.1425131559371948	-1.2552146911621094	0.6522289514541626	-1.4194775819778442	-1.253788948059082
ENSMUSG00000073000	0.005715299863368273	-0.0480361133813858	-0.15754592418670654	0.06454374641180038	-0.059281978756189346	0.3947586715221405
ENSMUSG00000021062	-0.15214122831821442	-0.04598046839237213	0.4223456084728241	-0.010483218356966972	0.3827669620513916	0.04006413370370865
ENSMUSG00000033039	-0.16364431381225586	-0.053535591810941696	0.4636935293674469	0.014859111048281193	0.40476733446121216	0.21330580115318298
ENSMUSG00000045657	1.717169165611267	-0.17965559661388397	-1.460505723953247	-0.14908158779144287	-1.0415140390396118	-0.12085314095020294
ENSMUSG00000116238	0.1248173639178276	-0.0461287721991539	-0.008527920581400394	-0.1306799054145813	-0.3747823238372803	0.1253221035003662
ENSMUSG00000093671	-0.05410349369049072	-0.037147145718336105	-0.12447506934404373	-0.18476174771785736	-0.0023218668065965176	-0.037495505064725876
ENSMUSG00000032623	0.013996980153024197	-0.058805402368307114	-0.2267363965511322	-0.1179918572306633	-0.11389310657978058	0.05595225840806961
ENSMUSG00000051669	-0.02589287795126438	-0.056547943502664566	-0.10512220114469528	-0.18114909529685974	-0.03650612384080887	-0.014582762494683266
ENSMUSG00000022500	-0.195577472448349	-0.055451396852731705	0.4801028072834015	0.10927240550518036	0.493281751871109	0.3093554973602295
ENSMUSG00000069094	-0.33787551522254944	-0.05772603675723076	0.6667295694351196	0.08793264627456665	0.7579163312911987	0.3200145959854126
ENSMUSG00000109805	-0.1842217594385147	-0.03815354406833649	0.44438374042510986	-0.022151468321681023	0.320022851228714	0.08400910347700119
ENSMUSG00000070462	0.029069332405924797	-0.0506315603852272	0.008832910098135471	0.19479574263095856	-0.35086682438850403	0.3984947204589844
ENSMUSG00000043067	-0.30248114466667175	-0.05847696214914322	0.5497082471847534	0.0671599879860878	0.7756564617156982	0.281403511762619
ENSMUSG00000024601	-0.12137610465288162	-0.04789881780743599	0.2328134924173355	-0.05979607254266739	0.32301437854766846	0.1333312839269638
ENSMUSG00000116061	-0.10660890489816666	-0.06226760521531105	0.06773516535758972	-0.050237998366355896	0.1748625785112381	0.16484403610229492
ENSMUSG00000029106	-0.2965124249458313	-0.056949764490127563	0.6061635613441467	0.17942941188812256	0.6518426537513733	0.3418070673942566
